EventId,EventTemplate,Occurrences
e2797d68,op=start ver=<*>.<*>.<*> format=raw kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=success,22
943a7bd2,audit_backlog_limit=<*> old=<*> auid=<*> ses=<*> <*>,27
4f0a1bc9,audit_failure=<*> old=<*> auid=<*> ses=<*> <*>,27
ff4db8d1,audit_backlog_wait_time=<*> old=<*> auid=<*> ses=<*> <*>,27
b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,2656
7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,65
f73a699e,op=terminate auid=<*> pid=<*> <*> <*>,23
a656e353,auid=<*> ses=<*> <*> <*> list=<*> <*>,32
b4cc6266,arch=c000003e syscall=<*> <*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,14826
979c0e27,"cwd=""/home/sepses/Documents""",1
73d5134d,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,30435
e558b054,"proctitle=""bash""",13
0cae8171,"pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> exe=""/usr/sbin/sshd"" <*> addr=<*> <*> <*>",268
c7e7a52f,"pid=<*> uid=<*> auid=<*> ses=<*> msg='op=adding group to <*> id=<*> exe=""/usr/sbin/groupadd"" hostname=UbuntuApp addr=? terminal=pts/<*> res=success'",2
04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',33
3f4e0c4a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> <*> <*> addr=? <*> res=success',15
c42dcef4,"pid=<*> uid=<*> auid=<*> ses=<*> msg='op=change max age id=<*> exe=""/usr/bin/chage"" hostname=UbuntuApp addr=? terminal=pts/<*> res=success'",1
77b98999,"apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" <*> pid=<*> comm=""apparmor_parser""",337
8bddb807,proctitle=61707061726D6F725F706172736572002D72002D54002D57002F6574632F61707061726D6F722E642F7573722E7362696E2E6E<*>,1
36637c21,"apparmor=""DENIED"" operation=""open"" profile=""/usr/sbin/ntpd"" name=""/snap/bin/"" pid=<*> comm=""ntpd"" requested_mask=""r"" denied_mask=""r"" fsuid=<*> ouid=<*>",1
8e1e0274,"cwd=""/""",38
